"Tag_year","UK_dep","Ice_arrive_spring","year","ID","Ice_dep_spring","Green_arrive","Green_dep","attempt_start","attempt_end","length","pre_breed_length","Acc","attempt","success24","successall","ordinal","staging_length","Age","Mass","Sex","Ringing.location","prev_success","breeding_lat","breeding_long","Green_centre","laying_centre","failure_centre"
"17760_2021","2021-04-09",2021-04-11,2021,"17760",2021-05-04,"2021-05-06","2021-09-06","2021-05-30","2021-06-16",18,24,"Y",1,0,0,"late.fail",23,"A","2350","F","LIRO",0,67.6278,-50.470203,3,0.5,3
"17761_2021","2021-04-11",2021-04-12,2021,"17761",2021-05-01,"2021-05-03","2021-09-06",NA,NA,0,NA,"Y",0,NA,0,"defer",19,"A","2400","F","ISLA",0,NA,NA,0,NA,NA
"17762_2018","2018-04-05",2018-04-06,2018,"17762",2018-05-07,"2018-05-08","2018-09-26","2018-05-30","2018-06-03",5,22,"Y",1,0,0,"early.fail",31,"A","2600","F","WEXF",1,71.513863,-54.111973,-2,-8,-21
"17762_2019","2019-03-25",2019-03-29,2019,"17762",2019-05-03,"2019-05-04","2019-09-22","2019-05-17","2019-06-15",30,13,"Y",1,1,1,"success",35,"A","2600","F","WEXF",1,71.463829,-53.928413,-2,-6,12
"17763_2018","2018-04-07",2018-04-08,2018,"17763",2018-05-07,"2018-05-08","2018-09-21","2018-06-05","2018-07-02",28,28,"Y",1,1,1,"success",29,"A","2050","F","WEXF",1,68.812309,-50.41275,-2,-2,8
"17764_2019","2019-03-21",2019-03-24,2019,"17764",2019-05-05,"2019-05-06","2019-08-31","2019-05-23","2019-06-02",11,17,"Y",1,0,0,"early.fail",42,"A","2250","F","LIRO",1,67.446709,-50.588814,0,0,-1
"17764_2020","2020-03-25",2020-03-27,2020,"17764",2020-05-01,"2020-05-03","2020-09-07","2020-05-25","2020-05-27",3,22,"Y",1,0,0,"early.fail",35,"A","2250","F","LIRO",1,67.437492,-50.610641,-4,0,-14.5
"17765_2019","2019-03-31",2019-04-01,2019,"17765",2019-05-05,"2019-05-06","2019-09-03","2019-05-24","2019-05-26",3,18,"Y",1,0,0,"early.fail",34,"A","2250","F","SESK",1,66.619125,-50.706928,0,1,-8
"17765_2020","2020-04-04",2020-04-06,2020,"17765",2020-05-02,"2020-05-05","2020-09-01",NA,NA,0,NA,"Y",0,NA,0,"defer",26,"A","2250","F","SESK",1,NA,NA,-2,NA,NA
"17765_2021","2021-04-10",2021-04-11,2021,"17765",2021-05-02,"2021-05-04","2021-09-03","2021-05-26","2021-06-07",13,22,"Y",1,0,0,"late.fail",21,"A","2250","F","SESK",0,66.601189,-50.672722,1,-3.5,-6
"17766_2018","2018-04-08",2018-04-09,2018,"17766",2018-05-08,"2018-05-10","2018-09-17","2018-06-04","2018-06-20",17,25,"Y",1,0,0,"late.fail",29,"A","2150","F","WEXF",1,70.078457,-53.569561,0,-3,-4
"17766_2019","2019-03-30",2019-04-01,2019,"17766",2019-05-05,"2019-05-06","2019-09-10","2019-05-21","2019-05-29",9,15,"Y",1,0,0,"early.fail",34,"A","2150","F","WEXF",1,70.08712,-53.587727,0,-2,-5
"17766_2020","2020-04-03",2020-04-05,2020,"17766",2020-05-02,"2020-05-07","2020-09-09","2020-05-29","2020-06-03",6,22,"Y",1,0,0,"early.fail",27,"A","2150","F","WEXF",1,70.084106,-53.579952,0,4,-7.5
"17768_2018","2018-04-08",2018-04-09,2018,"17768",2018-05-07,"2018-05-08","2018-09-14","2018-06-09","2018-06-24",16,32,"Y",1,0,0,"late.fail",28,"A","2550","F","WEXF",1,67.573029,-53.431469,-2,2,0
"17769_2018","2018-04-01",2018-04-03,2018,"17769",2018-05-09,"2018-05-10","2018-09-17",NA,NA,0,NA,"Y",0,NA,0,"defer",36,"A","2400","F","WEXF",1,NA,NA,0,NA,NA
"17769_2019","2019-03-25",2019-03-30,2019,"17769",2019-05-06,"2019-05-07","2019-09-17",NA,NA,0,NA,"Y",0,NA,0,"defer",37,"A","2400","F","WEXF",1,NA,NA,1,NA,NA
"17769_2020","2020-03-31",2020-04-03,2020,"17769",2020-05-07,"2020-05-09","2020-09-10",NA,NA,0,NA,"Y",0,NA,0,"defer",34,"A","2400","F","WEXF",1,NA,NA,2,NA,NA
"17769_2021","2021-04-03",2021-04-04,2021,"17769",2021-05-03,"2021-05-05","2021-09-11","2021-07-24","2021-08-01",9,80,"Y",1,0,0,"early.fail",29,"A","2400","F","WEXF",0,69.779938,-51.241798,2,55.5,49
"17771_2019","2019-03-31",2019-04-01,2019,"17771",2019-05-05,"2019-05-08","2019-09-18","2019-05-26","2019-06-03",9,18,"Y",1,0,0,"early.fail",34,"A","2550","F","WEXF",1,71.817001,-54.328983,2,3,0
"17776_2019","2019-04-08",2019-04-09,2019,"17776",2019-04-30,"2019-05-02","2019-09-16","2019-06-04","2019-07-01",28,33,"Y",1,1,1,"success",21,"A","2400","F","LOKE",1,66.999153,-50.052158,-4,12,28
"17777_2018","2018-04-01",2018-04-03,2018,"17777",2018-05-09,"2018-05-10","2018-09-17","2018-06-11","2018-07-03",23,32,"Y",1,0,0,"success",36,"A","2250","F","WEXF",1,70.190079,-52.210148,0,4,9
"17777_2019","2019-03-25",2019-03-30,2019,"17777",2019-05-06,"2019-05-07","2019-09-07","2019-05-19","2019-05-25",7,12,"Y",1,0,0,"early.fail",37,"A","2250","F","WEXF",1,70.222435,-52.171658,1,-4,-9
"17777_2020","2020-03-31",2020-04-03,2020,"17777",2020-05-07,"2020-05-11","2020-09-10","2020-05-29","2020-05-31",3,18,"Y",1,0,0,"early.fail",34,"A","2250","F","WEXF",1,70.30751,-52.195213,4,4,-10.5
"17777_2021","2021-04-03",2021-04-04,2021,"17777",2021-05-04,"2021-05-06","2021-09-09","2021-06-01","2021-06-08",8,26,"Y",1,0,0,"early.fail",30,"A","2250","F","WEXF",0,70.230652,-52.2280885,3,2.5,-5
"17778_2018","2018-04-05",2018-04-06,2018,"17778",2018-05-08,"2018-05-10","2018-09-26","2018-06-13","2018-07-13",31,34,"Y",1,1,1,"success",32,"A","2050","F","WEXF",1,70.183296,-51.297855,0,6,19
"17779_2019","2019-03-29",2019-03-31,2019,"17779",2019-05-03,"2019-05-04","2019-09-10","2019-06-05","2019-07-04",30,32,"Y",1,1,1,"success",33,"A","2700","F","LOKE",1,66.568123,-51.514648,-2,13,31
"17779_2020","2020-03-31",2020-04-03,2020,"17779",2020-04-29,"2020-04-30","2020-09-07","2020-05-22","2020-06-18",28,22,"Y",1,1,1,"success",26,"A","2700","F","LOKE",1,66.571419,-51.533978,-7,-3,7.5
"17779_2021","2021-03-31",2021-04-02,2021,"17779",2021-05-01,"2021-05-02","2021-09-06","2021-05-18","2021-06-16",30,16,"Y",1,1,1,"success",29,"A","2700","F","LOKE",0,66.570435,-51.51936,-1,-11.5,3
"17780_2018","2018-04-07",2018-04-08,2018,"17780",2018-05-07,"2018-05-08","2018-09-13","2018-06-06","2018-07-04",29,29,"Y",1,1,1,"success",29,"A","2200","F","WEXF",1,68.788063,-50.544434,-2,-1,10
"17782_2019","2019-04-07",2019-04-08,2019,"17782",2019-05-03,"2019-05-04","2019-09-06","2019-05-20","2019-06-18",30,16,"Y",1,1,1,"success",25,"A","2375","F","ISLA",1,66.616737,-50.29995,-2,-3,15
"17783_2020","2020-04-07",2020-04-08,2020,"17783",2020-05-02,"2020-05-06","2020-09-02",NA,NA,0,NA,"Y",0,NA,0,"defer",24,"A","2400","F","LOSW",1,NA,NA,-1,NA,NA
"17786_2019","2019-04-07",2019-04-09,2019,"17786",2019-05-05,"2019-05-06","2019-09-07","2019-05-21","2019-05-29",9,15,"Y",1,0,0,"early.fail",26,"A","2475","F","ISLA",1,67.136108,-50.348763,0,-2,-5
"17786_2020","2020-04-04",2020-04-06,2020,"17786",2020-05-02,"2020-05-05","2020-09-03","2020-05-20","2020-06-18",30,15,"Y",1,1,1,"success",26,"A","2475","F","ISLA",1,67.111916,-50.386456,-2,-5,7.5
"17786_2021","2021-04-11",2021-04-12,2021,"17786",2021-05-01,"2021-05-02","2021-09-06",NA,NA,0,NA,"Y",0,NA,0,"defer",19,"A","2475","F","ISLA",0,NA,NA,-1,NA,NA
"17790_2019","2019-04-07",2019-04-09,2019,"17790",2019-05-05,"2019-05-06","2019-09-07","2019-05-18","2019-05-24",7,12,"Y",1,0,0,"early.fail",26,"A","2600","F","ISLA",1,67.143837,-50.51207,0,-5,-10
"17790_2020","2020-04-04",2020-04-05,2020,"17790",2020-05-02,"2020-05-05","2020-09-01","2020-05-22","2020-06-05",15,17,"Y",1,0,0,"late.fail",27,"A","2600","F","ISLA",1,67.156654,-50.519455,-2,-3,-5.5
"17790_2021","2021-04-01",2021-04-04,2021,"17790",2021-05-02,"2021-05-03","2021-09-06",NA,NA,0,NA,"Y",0,NA,0,"defer",28,"A","2600","F","ISLA",0,NA,NA,0,NA,NA
"17791_2019","2019-03-29",2019-03-31,2019,"17791",2019-05-03,"2019-05-06","2019-09-03","2019-05-20","2019-05-29",10,14,"Y",1,0,0,"early.fail",33,"A","2375","F","WEST",1,67.334129,-50.571949,0,-3,-5
"17795_2019","2019-03-27",2019-03-30,2019,"17795",2019-05-03,"2019-05-04","2019-09-08",NA,NA,0,NA,"Y",0,NA,0,"defer",34,"A","2650","F","LIRO",1,NA,NA,-2,NA,NA
"17795_2020","2020-04-07",2020-04-09,2020,"17795",2020-05-03,"2020-05-05","2020-09-01","2020-05-24","2020-06-04",12,19,"Y",1,0,0,"late.fail",24,"A","2650","F","LIRO",1,67.282852,-51.775749,-2,-1,-6.5
"17795_2021","2021-04-11",2021-04-12,2021,"17795",2021-05-03,"2021-05-05","2021-09-06","2021-05-21","2021-06-19",30,16,"Y",1,1,1,"success",21,"A","2650","F","LIRO",0,67.30127,-51.76635,2,-8.5,6
"17796_2019","2019-04-07",2019-04-09,2019,"17796",2019-05-07,"2019-05-10","2019-09-07","2019-05-22","2019-06-09",19,12,"Y",1,0,0,"late.fail",28,"A","2425","F","ISLA",1,67.142838,-50.549164,4,-1,6
"17799_2020","2020-04-27",2020-04-28,2020,"17799",2020-05-07,"2020-05-09","2020-09-08","2020-06-05","2020-06-13",9,27,"Y",1,0,0,"early.fail",9,"A","2700","F","WEXF",1,71.582535,-54.368206,2,11,2.5
"17799_2021","2021-03-31",2021-04-02,2021,"17799",2021-05-06,"2021-05-09","2021-09-13","2021-06-08","2021-06-09",2,30,"Y",1,0,0,"early.fail",34,"A","2700","F","WEXF",0,71.578991,-54.362465,6,9.5,-4
"17801_2020","2020-04-04",2020-04-06,2020,"17801",2020-04-29,"2020-04-30","2020-09-02","2020-05-28","2020-06-13",17,28,"Y",1,0,0,"late.fail",23,"A","2300","F","ISLA",1,67.270889,-51.794605,-7,3,2.5
"17801_2021","2021-04-10",2021-04-11,2021,"17801",2021-05-02,"2021-05-03","2021-09-06","2021-05-23","2021-05-28",6,20,"Y",1,0,0,"early.fail",21,"A","2300","F","ISLA",0,67.270882,-51.796207,0,-6.5,-16
"17804_2019","2019-03-31",2019-04-01,2019,"17804",2019-05-05,"2019-05-09","2019-09-18",NA,NA,0,NA,"Y",0,NA,0,"defer",34,"A","2800","F","WEXF",1,NA,NA,3,NA,NA
"17805_2019","2019-03-31",2019-04-01,2019,"17805",2019-05-05,"2019-05-06","2019-10-07",NA,NA,0,NA,"Y",0,NA,0,"defer",34,"A","2250","F","SESK",1,NA,NA,0,NA,NA
"17806_2019","2019-04-07",2019-04-09,2019,"17806",2019-05-05,"2019-05-06","2019-09-07","2019-05-18","2019-06-14",28,12,"Y",1,1,1,"success",26,"A","2375","F","ISLA",1,67.143173,-50.558762,0,-5,11
"17807_2021","2021-04-11",2021-04-11,2021,"17807",2021-04-30,"2021-05-02","2021-09-06",NA,NA,0,NA,"Y",0,NA,0,"defer",19,"A","2300","F","ISLA",0,NA,NA,-1,NA,NA
"17809.1_2019","2019-03-31",2019-04-01,2019,"17809.1",2019-05-05,"2019-05-06","2019-09-06",NA,NA,0,NA,"Y",0,NA,0,"defer",34,"A","2550","F","LIRO",1,NA,NA,0,NA,NA
"17809.1_2020","2020-03-20",2020-03-21,2020,"17809.1",2020-05-02,"2020-05-05","2020-09-02","2020-05-25","2020-06-19",26,20,"Y",1,1,1,"success",42,"A","2550","F","LIRO",1,67.563454,-50.669109,-2,0,8.5
"17809.2_2021","2021-03-31",2021-04-02,2021,"17809.2",2021-05-01,"2021-05-02","2021-09-01","2021-06-10","2021-06-13",4,39,"Y",1,0,0,"early.fail",29,"A","2500","F","LOKE",0,67.390007,-50.232887,-1,11.5,0
"17812_2018","2018-04-08",2018-04-10,2018,"17812",2018-05-07,"2018-05-10","2018-09-17",NA,NA,0,NA,"Y",0,NA,0,"defer",27,"Y","2100","F","WEXF",1,NA,NA,0,NA,NA
"17812_2019","2019-03-25",2019-03-29,2019,"17812",2019-05-05,"2019-05-07","2019-09-09",NA,NA,0,NA,"Y",0,NA,0,"defer",37,"Y","2100","F","WEXF",1,NA,NA,1,NA,NA
"17813_2018","2018-03-29",2018-03-30,2018,"17813",2018-05-07,"2018-05-10","2018-09-12","2018-06-07","2018-06-19",13,28,"Y",1,0,0,"late.fail",38,"A","2350","F","WEXF",1,70.351707,-52.805424,0,0,-5
"17813_2019","2019-04-09",2019-04-09,2019,"17813",2019-05-05,"2019-05-07","2019-09-09",NA,NA,0,NA,"Y",0,NA,0,"defer",26,"A","2350","F","WEXF",1,NA,NA,1,NA,NA
"17813_2020","2020-03-25",2020-03-27,2020,"17813",2020-05-07,"2020-05-09","2020-09-10","2020-05-27","2020-05-30",4,18,"Y",1,0,0,"early.fail",41,"A","2350","F","WEXF",1,70.362755,-52.843845,2,2,-11.5
"17813_2021","2021-04-03",2021-04-04,2021,"17813",2021-05-05,"2021-05-06","2021-09-09","2021-05-29","2021-06-13",16,23,"Y",1,0,0,"late.fail",31,"A","2350","F","WEXF",0,70.320038,-52.92767,3,-0.5,0
"17814_2018","2018-04-08",2018-04-09,2018,"17814",2018-05-09,"2018-05-11","2018-09-12","2018-06-11","2018-06-20",10,31,"Y",1,0,0,"early.fail",30,"A","2350","F","WEXF",1,71.757698,-54.063168,1,4,-4
"17824_2019","2019-04-07",2019-04-08,2019,"17824",2019-05-05,"2019-05-07","2019-09-12","2019-05-24","2019-06-20",28,17,"Y",1,1,1,"success",27,"A","2200","F","ISLA",1,67.748207,-50.604286,1,1,17
"17824_2020","2020-04-04",2020-04-06,2020,"17824",2020-05-06,"2020-05-07","2020-09-07","2020-05-24","2020-06-22",30,17,"Y",1,1,1,"success",30,"A","2200","F","ISLA",1,67.748741,-50.602417,0,-1,11.5
"190291_2020","2020-04-09",2020-04-11,2020,"190291",2020-05-02,"2020-05-05","2020-09-02","2020-05-31","2020-06-04",5,26,"Y",1,0,0,"early.fail",21,"A","2425","F","ISLA",1,67.023766,-52.013275,-2,6,-6.5
"190292_2020","2020-04-04",2020-04-06,2020,"190292",2020-04-29,"2020-04-30","2020-09-02","2020-06-02","2020-06-28",27,33,"Y",1,1,1,"success",23,"A","2075","F","ISLA",1,67.259727,-52.032429,-7,8,17.5
"190292_2021","2021-04-10",2021-04-11,2021,"190292",2021-04-30,"2021-05-01","2021-09-06",NA,NA,0,NA,"Y",0,NA,0,"defer",19,"A","2075","F","ISLA",0,NA,NA,-2,NA,NA
"190294_2020","2020-04-13",2020-04-14,2020,"190294",2020-05-08,"2020-05-09","2020-09-09","2020-05-22","2020-05-27",6,13,"Y",1,0,0,"early.fail",24,"A","2000","F","ISLA",1,67.60157,-50.800209,2,-3,-14.5
"190295.2_2020","2020-04-04",2020-04-06,2020,"190295.2",2020-05-02,"2020-05-06","2020-09-02","2020-06-01","2020-06-23",23,26,"Y",1,0,0,"success",26,"A","2225","F","ISLA",1,67.230148,-51.930695,-1,7,12.5
"190839_2020","2020-04-09",2020-04-11,2020,"190839",2020-05-08,"2020-05-09","2020-08-31",NA,NA,0,NA,"Y",0,NA,0,"defer",27,"A","2550","F","LOSW",1,NA,NA,2,NA,NA
"190839_2021","2021-03-30",2021-04-02,2021,"190839",2021-05-05,"2021-05-07","2021-09-06","2021-05-21","2021-06-07",18,14,"Y",1,0,0,"late.fail",33,"A","2550","F","LOSW",0,67.512367,-51.925808,4,-8.5,-6
"190842_2020","2020-03-29",2020-03-30,2020,"190842",2020-05-02,"2020-05-05","2020-09-07","2020-05-23","2020-06-23",32,18,"Y",1,1,1,"success",33,"A","2450","F","LOSW",1,67.587929,-51.830307,-2,-2,12.5
"190842_2021","2021-04-01",2021-04-02,2021,"190842",2021-04-30,"2021-05-02","2021-09-03","2021-05-31","2021-06-13",14,29,"Y",1,0,0,"late.fail",28,"A","2450","F","LOSW",0,67.588684,-51.83255,-1,1.5,0
"190845_2021","2021-03-30",2021-04-02,2021,"190845",2021-05-04,"2021-05-05","2021-09-02","2021-06-03","2021-07-03",31,29,"Y",1,1,1,"success",32,"A","2525","F","WEXF",0,72.45797,-54.508533,2,4.5,20
"190850_2020","2020-04-09",2020-04-11,2020,"190850",2020-05-06,"2020-05-08","2020-09-08",NA,NA,0,NA,"Y",0,NA,0,"defer",25,"A","2550","F","LOSW",1,NA,NA,1,NA,NA
"193089_2021","2021-03-31",2021-04-02,2021,"193089",2021-05-01,"2021-05-03","2021-09-02","2021-05-23","2021-06-02",11,20,"Y",1,0,0,"early.fail",29,"A","2400","F","LOKE",0,68.548668,-50.736191,0,-6.5,-11
"PIFO50_2020","2020-04-05",2020-04-07,2020,"PIFO50",2020-04-30,"2020-05-01","2020-08-28",NA,NA,0,NA,"Y",0,NA,0,"defer",23,"Y","2250","F","WEST",1,NA,NA,-6,NA,NA
"PIFO53_2020","2020-04-05",2020-04-07,2020,"PIFO53",2020-04-30,"2020-05-01","2020-08-28",NA,NA,0,NA,"Y",0,NA,0,"defer",23,"Y","2220","F","WEST",1,NA,NA,-6,NA,NA
"PIFO53_2021","2021-04-01",2021-04-03,2021,"PIFO53",2021-05-01,"2021-05-02","2021-09-02","2021-05-21","2021-06-16",27,19,"Y",1,1,1,"success",28,"Y","2220","F","WEST",0,67.480533,-50.389283,-1,-8.5,3
"UCOL31_2018","2018-04-11",2018-04-12,2018,"UCOL31",2018-05-02,"2018-05-04","2018-09-13",NA,NA,0,NA,"Y",0,NA,0,"defer",20,"A","2350","F","ISLA",1,NA,NA,-6,NA,NA
"UCOL31_2020","2020-04-04",2020-04-06,2020,"UCOL31",2020-05-03,"2020-05-07","2020-09-13","2020-05-31","2020-06-18",19,24,"Y",1,0,0,"late.fail",27,"A","2350","F","ISLA",1,67.402917,-53.2672,0,6,7.5
"WHIT09_2017","2017-04-16",2017-04-16,2017,"WHIT09",2017-05-06,"2017-05-07","2017-09-11",NA,NA,0,NA,"Y",0,NA,0,"defer",20,"A","2375","F","ISLA",1,NA,NA,0.5,NA,NA
"WHIT12_2018","2018-04-15",2018-04-15,2018,"WHIT12",2018-05-02,"2018-05-05","2018-09-11",NA,NA,0,NA,"Y",0,NA,0,"defer",17,"A","2550","F","KINT",1,NA,NA,-5,NA,NA
"WHIT12_2019","2019-04-07",2019-04-08,2019,"WHIT12",2019-05-03,"2019-05-04","2019-09-05","2019-05-19","2019-06-01",14,15,"Y",1,0,0,"late.fail",25,"A","2550","F","KINT",1,67.44185,-51.8017,-2,-4,-2
"WHIT12_2020","2020-04-07",2020-04-08,2020,"WHIT12",2020-05-02,"2020-05-05","2020-09-07","2020-05-20","2020-06-08",20,15,"Y",1,0,0,"late.fail",24,"A","2550","F","KINT",1,67.434567,-51.827567,-2,-5,-2.5
"WHIT15_2017","2017-04-14",2017-04-15,2017,"WHIT15",2017-05-04,"2017-05-06","2017-09-03","2017-05-23","2017-05-31",9,17,"Y",1,0,0,"early.fail",19,"A","2475","F","ISLA",1,67.43595,-52.18375,-0.5,0,0
"WHIT16_2019","2019-03-31",2019-04-02,2019,"WHIT16",2019-05-03,"2019-05-04","2019-09-06","2019-05-18","2019-06-03",17,14,"Y",1,0,0,"late.fail",31,"A","2125","F","ISLA",1,68.218,-50.687933,-2,-5,0
"WHIT16_2020","2020-04-13",2020-04-14,2020,"WHIT16",2020-05-07,"2020-05-08","2020-09-07","2020-05-21","2020-06-19",30,13,"Y",1,1,1,"success",23,"A","2125","F","ISLA",1,68.2143,-50.6923,1,-4,8.5
"WHIT17_2018","2018-04-15",2018-04-15,2018,"WHIT17",2018-05-09,"2018-05-10","2018-09-14","2018-06-07","2018-06-17",11,28,"Y",1,0,0,"early.fail",24,"A","2400","F","ISLA",1,68.145017,-50.612717,0,0,-7
"WHIT17_2020","2020-04-10",2020-04-12,2020,"WHIT17",2020-05-06,"2020-05-08","2020-09-07","2020-05-24","2020-06-06",14,16,"Y",1,0,0,"late.fail",24,"A","2400","F","ISLA",1,68.140583,-50.613883,1,-1,-4.5
"WHIT19_2019","2019-04-08",2019-04-09,2019,"WHIT19",2019-05-05,"2019-05-07","2019-09-06","2019-05-26","2019-06-07",13,19,"Y",1,0,0,"late.fail",26,"A","2375","F","ISLA",1,67.629233,-50.951317,1,3,4
"WHIT21_2018","2018-04-12",2018-04-13,2018,"WHIT21",2018-05-07,"2018-05-09","2018-09-19","2018-06-10","2018-06-25",16,32,"Y",1,0,0,"late.fail",24,"A","2250","F","ISLA",1,67.701275,-53.371583,-1,3,1
"WHIT21_2019","2019-03-31",2019-04-02,2019,"WHIT21",2019-05-03,"2019-05-04","2019-09-13","2019-05-24","2019-06-10",18,20,"Y",1,0,0,"late.fail",31,"A","2250","F","ISLA",1,67.7012,-53.367733,-2,1,7
"WHIT21_2020","2020-04-13",2020-04-16,2020,"WHIT21",2020-05-08,"2020-05-09","2020-09-07",NA,NA,0,NA,"Y",0,NA,0,"defer",22,"A","2250","F","ISLA",1,NA,NA,2,NA,NA
"17807_2020","2020-04-20",2020-04-21,2020,"17807",2020-05-02,"2020-05-06","2020-09-01","2020-05-25","2020-06-02",9,19,"Y",1,0,0,"early.fail",11,"A","2300","F","ISLA",1,66.594719,-50.19075,-1,0,-8.5
"17761_2020",NA,NA,2020,"17761",2020-05-06,"2020-05-08","2020-09-09","2020-05-25","2020-06-22",29,17,"Y",1,1,1,"success",NA,"A","2400","F","ISLA",1,67.085396,-52.529934,1,0,11.5
"190291_2021",NA,NA,2021,"190291",2021-05-01,"2021-05-02","2021-09-11","2021-06-01","2021-07-01",31,30,"Y",1,1,1,"success",NA,"A","2425","F","ISLA",0,67.026154,-51.982723,-1,2.5,18
"PIFO32_2020",NA,NA,2020,"PIFO32",2020-05-06,"2020-05-08","2020-09-01",NA,NA,0,NA,"Y",0,NA,0,"defer",NA,"Y","2100","F","ISLA",1,NA,NA,1,NA,NA
"WHIT03_2018",NA,NA,2018,"WHIT03",2018-05-02,"2018-05-04","2018-09-13","2018-06-07","2018-06-12",6,34,"Y",1,0,0,"early.fail",NA,"A","2550","F","ISLA",1,66.926433,-50.21015,-6,0,-12
"WHIT20_2018",NA,NA,2018,"WHIT20",2018-05-09,"2018-05-14","2018-09-15","2018-06-08","2018-06-28",21,25,"Y",1,0,0,"late.fail",NA,"A","2100","F","ISLA",1,67.383783,-53.4563,4,1,4
"WHIT22_2020",NA,NA,2020,"WHIT22",2020-05-08,"2020-05-09","2020-09-07",NA,NA,0,NA,"Y",0,NA,0,"defer",NA,"A","2425","F","ISLA",1,NA,NA,2,NA,NA
"WHIT24_2018",NA,NA,2018,"WHIT24",2018-05-08,"2018-05-10","2018-09-18",NA,NA,0,NA,"Y",0,NA,0,"defer",NA,"A","2350","F","ISLA",1,NA,NA,0,NA,NA
"WHIT25_2019",NA,NA,2019,"WHIT25",2019-05-05,"2019-05-06","2019-09-06","2019-05-22","2019-06-02",12,16,"Y",1,0,0,"late.fail",NA,"A","2350","F","WEST",1,68.6014,-50.561317,0,-1,-1
"UCOL31_2019",NA,NA,2019,"UCOL31",2019-05-03,"2019-05-05","2019-09-10",NA,NA,0,NA,"Y",0,NA,0,"defer",NA,"A","2350","F","ISLA",1,NA,NA,-1,NA,NA
